valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
17.53915, 0.15763, 8.61640
17.49595, 0.15723, 8.57896
17.70106, 0.15905, 8.64763
17.64010, 0.15853, 8.62191
17.68541, 0.15890, 8.65122

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
17.71707, 0.15917, 8.69402
17.73898, 0.15939, 8.68550
17.45852, 0.15697, 8.60825
17.68681, 0.15891, 8.65657
17.76716, 0.15960, 8.69572

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
9.26522, 2.84419, 9.06738
9.33911, 2.87769, 9.11175
9.25662, 2.84032, 9.06084
8.98599, 2.83509, 8.47692
7.98793, 2.52712, 8.74475

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
9.18062, 2.84454, 9.01984
9.18731, 2.85277, 9.04223
8.76779, 2.79858, 8.70914
8.51636, 2.83395, 8.86276
9.06600, 2.50864, 8.74421

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
8.57971, 2.63466, 8.45133
8.56967, 2.60519, 8.50621
8.60409, 2.49509, 8.51338
8.26543, 2.14238, 8.26955
8.55163, 2.66459, 8.34210

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
8.38233, 2.67707, 8.32926
8.51204, 2.68042, 8.32907
8.45017, 2.68474, 8.39971
8.52569, 2.65295, 8.39494
8.48052, 2.64725, 8.32795

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
8.51687, 2.62921, 8.38770
8.54667, 2.58643, 8.39055
8.50423, 2.65435, 8.40358
8.52276, 2.62717, 8.37214
8.53713, 2.65453, 8.40912
valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
8.51607, 2.52979, 8.22463

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
2.42051, 1.03841, 3.04146

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
3.05984, 0.77499, 3.00489
3.04846, 0.97416, 2.84046
3.03156, 0.97495, 2.87847
2.91666, 0.91924, 2.21586
3.19484, 1.00068, 3.23808

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
6.41014, 2.12644, 7.01427
7.97717, 2.44389, 7.57868
8.32091, 2.54983, 7.85838
7.76947, 2.49911, 7.86284
7.61306, 2.24223, 7.79033

