valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
6.82225, 0.06257, 3.41542
7.12282, 0.06533, 3.61960
6.88110, 0.06310, 3.49369
7.02054, 0.06433, 3.40369
6.91991, 0.06348, 3.55699

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
6.96522, 7.13144, 7.16770
7.29888, 7.19632, 7.28138
7.17190, 7.02379, 7.30816
7.27531, 7.22201, 7.32361
7.31777, 7.18910, 7.31454

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
7.17350, 6.88950, 7.35814
7.36513, 7.13278, 7.34717
7.32994, 7.14222, 7.37922
7.35381, 7.18172, 7.36796
7.25073, 6.96490, 7.27135

valid throughput, revoked throughput, mixed throughput, item numbers = 262328, query number = 28341276
7.07743, 6.82234, 7.25157
7.13527, 7.06807, 6.81808
7.34409, 7.10433, 7.25194
7.36502, 7.01847, 7.24124
6.95360, 7.00387, 7.04834

